# Generated by Perl
# 2024-02-08

# Core
# 0,0

# Name: Core
# Name: Ukan (vi)

# Abbreviation: Core

# Milieu: M600

# Credits: Core sector was designed by Marc W. Miller and appears in Atlas of the Imperium (GDW, 1984).

# Source:    Traveller 5 Second Survey

# Subsector A: Apge
# Subsector B: Perite
# Subsector C: Ameros
# Subsector D: Shinkan
# Subsector E: Sanches
# Subsector F: Mekee
# Subsector G: Core
# Subsector H: Kaskii
# Subsector I: Bunkeria
# Subsector J: Cemplas
# Subsector K: Chant
# Subsector L: Dingtra
# Subsector M: Cadion
# Subsector N: Ch'naar
# Subsector O: Dunea
# Subsector P: Saregon

Sector	Subsector	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Core	A	0103	Irkigkhan           	C9C46AB-7		Fl Ni                              		223		M2 V           				8	
Core	A	0104	Shana Ma            	E551023-6		Po                                 		503		K2 IV M7 V     				9	
Core	A	0106	Niir                	B9C68BA-8		Fl Ph                              		304		A1 V           				7	
Core	E	0112	Per                 	A673211-A		Lo                                 		303		M0 V M0 V      				1	
Core	E	0113	Khishi              	C798143-9		Lo                                 		703		M0 V           				1	
Core	E	0114	Khid                	B550323-A		De Lo Po                           		520		M1 V           				1	
Core	E	0116	Idpuu               	B585786-9		Ag Ri                              		911		M2 V           				8	
Core	E	0117	Neki                	B664567-7		Ag Ni Pr                           		210		M0 V M9 V M4 V 				1	
Core	E	0120	Kein                	C544446-9		Ni Pa                              		500		K2 V           				1	
Core	I	0125	Larsaluu            	B664200-A		Lo                                 		310		M0 V M1 V      				4	
Core	I	0126	Danke Es            	B541633-9		He Ni Po                           		513		G7 V M4 V      				1	
Core	I	0127	Emshi               	B578699-9		Ag Ni                              		614		M1 V           				1	
Core	I	0128	Sheki               	B55947A-A		Ni                                 		823		K0 V           				1	
Core	I	0129	Laslii Mii          	B984202-8		Lo                                 		722		M3 V           				1	
Core	I	0130	Siiaash             	E200436-8		Ni Va                              		902		M0 V M2 V      				8	
Core	M	0132	Lash                	B76A300-C		Lo Wa                              		321		K3 V M0 V      				1	
Core	M	0133	Pumuuda             	B8D7336-A		Lo                                 		315		G5 V           				1	
Core	M	0134	Miise               	B421454-A		He Ni Po                           		903		M1 V           				1	
Core	M	0135	Maish Uun           	B667333-A		Ga Lo                              		504		M2 V           				1	
